Tempo de execucao, Iteracoes, Tamanho da entrada, Tamanho Populacao original, Tamanho Populacao no fim, Melhor fit, Tamanho da mochila, Quantidade de sorteados para crossover, Quantidade de crossovers, Quantidade de mutacoes
69, 2199546, 1320, 250, 500, 0, 1000, 100, 32707012, 163954
60, 2020983, 1320, 251, 502, 0, 1000, 100, 30008699, 150321
65, 2063411, 1320, 252, 504, 0, 1000, 100, 30686587, 153381
62, 1924091, 1320, 253, 506, 0, 1000, 100, 28573426, 142338
49, 1555084, 1320, 254, 508, 0, 1000, 100, 23045069, 115492
58, 1851485, 1320, 255, 510, 0, 1000, 100, 27519687, 137137
53, 1678247, 1320, 256, 512, 0, 1000, 100, 24975585, 125258
57, 1811182, 1320, 257, 514, 0, 1000, 100, 26843466, 133794
65, 2082100, 1320, 258, 516, 0, 1000, 100, 30913755, 154583
76, 2346771, 1320, 259, 518, 0, 1000, 100, 34891310, 174619
69, 2102510, 1320, 260, 520, 0, 1000, 100, 31292166, 157046
51, 1638646, 1320, 261, 522, 0, 1000, 100, 24323501, 121648
52, 1644491, 1320, 262, 524, 0, 1000, 100, 24374345, 122288
78, 2380352, 1320, 263, 526, 0, 1000, 100, 35399734, 177787
63, 1915461, 1320, 264, 528, 0, 1000, 100, 28410564, 141955
58, 1996994, 1320, 265, 530, 0, 1000, 100, 29660527, 148704
75, 2354059, 1320, 266, 532, 0, 1000, 100, 34961252, 174479
65, 2143539, 1320, 267, 534, 0, 1000, 100, 31825475, 159164
53, 1669629, 1320, 268, 536, 0, 1000, 100, 24721652, 123779
54, 1644741, 1320, 269, 538, 0, 1000, 100, 24394635, 121864
66, 1980034, 1320, 270, 540, 0, 1000, 100, 29429077, 147184
75, 2460837, 1320, 271, 542, 0, 1000, 100, 36522652, 181994
79, 2457491, 1320, 272, 544, 0, 1000, 100, 36499197, 182500
53, 1799623, 1320, 273, 546, 0, 1000, 100, 26786140, 134422
66, 2004415, 1320, 274, 548, 0, 1000, 100, 29775796, 148361
58, 1873181, 1320, 275, 550, 0, 1000, 100, 27801940, 138853
67, 2122765, 1320, 276, 552, 0, 1000, 100, 31488629, 158291
65, 2023810, 1320, 277, 554, 0, 1000, 100, 29983134, 149401
74, 2263259, 1320, 278, 556, 0, 1000, 100, 33607397, 167163
69, 1934921, 1320, 279, 558, 0, 1000, 100, 28803307, 143763
64, 1906886, 1320, 280, 560, 0, 1000, 100, 28303704, 141523
52, 1653818, 1320, 281, 562, 0, 1000, 100, 24614078, 123060
58, 1723838, 1320, 282, 564, 0, 1000, 100, 25592570, 128381
